X401,X402,X403,X405,YY1,Y1
1,5,5,1,1,11
1,5,5,1,1,12
1,5,5,1,1,13
1,5,5,1,1,14
1,5,5,1,1,15
3,5,1,1,2,21
3,5,1,1,2,22
3,5,1,1,2,23
3,5,1,1,2,24
3,5,1,1,2,25
5,5,5,5,3,31
5,5,5,5,3,32
5,5,5,5,3,33
5,5,5,5,3,34
5,5,5,5,3,35
3,5,1,1,4,41
3,5,1,1,4,42
3,5,1,1,4,43
3,5,1,1,4,44
3,5,1,1,4,45
3,5,1,1,5,51
3,5,1,1,5,52
3,5,1,1,5,53
3,5,1,1,5,54
3,5,1,1,5,55
1,5,1,1,6,61
1,5,1,1,6,62
1,5,1,1,6,63
1,5,1,1,6,64
1,5,1,1,6,65
5,5,5,5,7,71
5,5,5,5,7,72
5,5,5,5,7,73
5,5,5,5,7,74
5,5,5,5,7,75
3,5,1,5,8,81
3,5,1,5,8,82
3,5,1,5,8,83
3,5,1,5,8,84
3,5,1,5,8,85
3,5,5,1,9,91
3,5,5,1,9,92
3,5,5,1,9,93
3,5,5,1,9,94
3,5,5,1,9,95
1,1,1,1,10,101
1,1,1,1,10,102
1,1,1,1,10,103
1,1,1,1,10,104
1,1,1,1,10,105
5,5,1,1,11,111
5,5,1,1,11,112
5,5,1,1,11,113
5,5,1,1,11,114
5,5,1,1,11,115
3,1,5,1,12,121
3,1,5,1,12,122
3,1,5,1,12,123
3,1,5,1,12,124
3,1,5,1,12,125
3,5,5,5,13,131
3,5,5,5,13,132
3,5,5,5,13,133
3,5,5,5,13,134
3,5,5,5,13,135
3,5,1,5,14,141
3,5,1,5,14,142
3,5,1,5,14,143
3,5,1,5,14,144
3,5,1,5,14,145
3,1,5,1,15,151
3,1,5,1,15,152
3,1,5,1,15,153
3,1,5,1,15,154
3,1,5,1,15,155
3,5,1,1,16,161
3,5,1,1,16,162
3,5,1,1,16,163
3,5,1,1,16,164
3,5,1,1,16,165
5,5,1,1,17,171
5,5,1,1,17,172
5,5,1,1,17,173
5,5,1,1,17,174
5,5,1,1,17,175
3,5,1,5,18,181
3,5,1,5,18,182
3,5,1,5,18,183
3,5,1,5,18,184
3,5,1,5,18,185
3,5,1,5,19,191
3,5,1,5,19,192
3,5,1,5,19,193
3,5,1,5,19,194
3,5,1,5,19,195
3,1,1,1,20,201
