X401,X402,X403,X405,YY1,Y1
3,5,5,1,54,541
3,5,5,1,54,542
3,5,5,1,54,543
3,5,5,1,54,544
3,5,5,1,54,545
5,5,5,5,55,551
5,5,5,5,55,552
5,5,5,5,55,553
5,5,5,5,55,554
5,5,5,5,55,555
1,1,1,1,56,561
1,1,1,1,56,562
1,1,1,1,56,563
1,1,1,1,56,564
1,1,1,1,56,565
1,1,1,1,57,571
1,1,1,1,57,572
1,1,1,1,57,573
1,1,1,1,57,574
1,1,1,1,57,575
3,5,5,1,58,581
3,5,5,1,58,582
3,5,5,1,58,583
3,5,5,1,58,584
3,5,5,1,58,585
1,5,5,5,59,591
1,5,5,5,59,592
1,5,5,5,59,593
1,5,5,5,59,594
1,5,5,5,59,595
3,5,5,5,60,601
3,5,5,5,60,602
3,5,5,5,60,603
3,5,5,5,60,604
3,5,5,5,60,605
1,1,1,1,61,611
1,1,1,1,61,612
1,1,1,1,61,613
1,1,1,1,61,614
1,1,1,1,61,615
3,5,1,1,62,621
3,5,1,1,62,622
3,5,1,1,62,623
3,5,1,1,62,624
3,5,1,1,62,625
3,1,1,1,63,631
3,1,1,1,63,632
3,1,1,1,63,633
3,1,1,1,63,634
3,1,1,1,63,635
1,5,5,1,64,641
1,5,5,1,64,642
1,5,5,1,64,643
1,5,5,1,64,644
1,5,5,1,64,645
5,5,5,1,65,651
5,5,5,1,65,652
5,5,5,1,65,653
5,5,5,1,65,654
5,5,5,1,65,655
3,5,5,1,66,661
3,5,5,1,66,662
3,5,5,1,66,663
3,5,5,1,66,664
3,5,5,1,66,665
5,5,5,5,67,671
5,5,5,5,67,672
5,5,5,5,67,673
5,5,5,5,67,674
5,5,5,5,67,675
5,5,1,1,68,681
5,5,1,1,68,682
5,5,1,1,68,683
5,5,1,1,68,684
5,5,1,1,68,685
3,5,1,1,69,691
3,5,1,1,69,692
3,5,1,1,69,693
3,5,1,1,69,694
3,5,1,1,69,695
1,5,5,5,70,701
1,5,5,5,70,702
1,5,5,5,70,703
1,5,5,5,70,704
1,5,5,5,70,705
3,5,1,1,71,711
3,5,1,1,71,712
3,5,1,1,71,713
3,5,1,1,71,714
3,5,1,1,71,715
3,5,1,5,72,721
3,5,1,5,72,722
3,5,1,5,72,723
3,5,1,5,72,724
3,5,1,5,72,725
1,1,5,1,73,731
1,1,5,1,73,732
1,1,5,1,73,733
1,1,5,1,73,734
1,1,5,1,73,735
1,5,5,1,74,741
1,5,5,1,74,742
