Y1,YY1,X401,X402,X403,X405
561,56,1,5,1,1
562,56,1,5,1,1
563,56,1,5,1,1
564,56,1,5,1,1
565,56,1,5,1,1
571,57,3,5,1,1
572,57,3,5,1,1
573,57,3,5,1,1
574,57,3,5,1,1
575,57,3,5,1,1
581,58,3,5,1,1
582,58,3,5,1,1
583,58,3,5,1,1
584,58,3,5,1,1
585,58,3,5,1,1
591,59,3,1,1,5
592,59,3,1,1,5
593,59,3,1,1,5
594,59,3,1,1,5
595,59,3,1,1,5
611,61,5,5,5,5
612,61,5,5,5,5
613,61,5,5,5,5
614,61,5,5,5,5
615,61,5,5,5,5
621,62,1,5,5,1
622,62,1,5,5,1
623,62,1,5,5,1
624,62,1,5,5,1
625,62,1,5,5,1
631,63,1,5,1,1
632,63,1,5,1,1
633,63,1,5,1,1
634,63,1,5,1,1
635,63,1,5,1,1
641,64,3,5,5,1
642,64,3,5,5,1
643,64,3,5,5,1
644,64,3,5,5,1
645,64,3,5,5,1
651,65,3,1,1,5
652,65,3,1,1,5
653,65,3,1,1,5
654,65,3,1,1,5
655,65,3,1,1,5
661,66,3,5,1,1
662,66,3,5,1,1
663,66,3,5,1,1
664,66,3,5,1,1
665,66,3,5,1,1
671,67,5,5,1,5
672,67,5,5,1,5
673,67,5,5,1,5
674,67,5,5,1,5
675,67,5,5,1,5
681,68,5,5,5,1
682,68,5,5,5,1
683,68,5,5,5,1
684,68,5,5,5,1
685,68,5,5,5,1
691,69,1,5,1,1
692,69,1,5,1,1
693,69,1,5,1,1
694,69,1,5,1,1
695,69,1,5,1,1
701,70,3,5,1,5
702,70,3,5,1,5
703,70,3,5,1,5
704,70,3,5,1,5
705,70,3,5,1,5
711,71,3,5,5,1
712,71,3,5,5,1
713,71,3,5,5,1
714,71,3,5,5,1
715,71,3,5,5,1
721,72,1,1,5,1
722,72,1,1,5,1
723,72,1,1,5,1
724,72,1,1,5,1
725,72,1,1,5,1
731,73,5,5,5,5
732,73,5,5,5,5
733,73,5,5,5,5
734,73,5,5,5,5
735,73,5,5,5,5
741,74,3,5,5,1
742,74,3,5,5,1
743,74,3,5,5,1
744,74,3,5,5,1
745,74,3,5,5,1
751,75,1,5,1,5
752,75,1,5,1,5
753,75,1,5,1,5
754,75,1,5,1,5
755,75,1,5,1,5
761,76,3,5,1,1
762,76,3,5,1,1
763,76,3,5,1,1
764,76,3,5,1,1
765,76,3,5,1,1
771,77,3,1,5,5
772,77,3,1,5,5
773,77,3,1,5,5
774,77,3,1,5,5
775,77,3,1,5,5
781,78,1,1,5,1
782,78,1,1,5,1
783,78,1,1,5,1
784,78,1,1,5,1
785,78,1,1,5,1
791,79,3,5,1,1
792,79,3,5,1,1
793,79,3,5,1,1
794,79,3,5,1,1
795,79,3,5,1,1
801,80,1,5,5,1
802,80,1,5,5,1
803,80,1,5,5,1
804,80,1,5,5,1
805,80,1,5,5,1
811,81,3,5,5,1
812,81,3,5,5,1
813,81,3,5,5,1
814,81,3,5,5,1
815,81,3,5,5,1
821,82,5,5,1,5
822,82,5,5,1,5
823,82,5,5,1,5
824,82,5,5,1,5
825,82,5,5,1,5
831,83,1,5,1,1
832,83,1,5,1,1
833,83,1,5,1,1
834,83,1,5,1,1
835,83,1,5,1,1
841,84,5,5,5,1
842,84,5,5,5,1
843,84,5,5,5,1
844,84,5,5,5,1
845,84,5,5,5,1
851,85,5,5,5,1
852,85,5,5,5,1
853,85,5,5,5,1
854,85,5,5,5,1
855,85,5,5,5,1
861,86,1,5,5,1
862,86,1,5,5,1
863,86,1,5,5,1
864,86,1,5,5,1
865,86,1,5,5,1
871,87,1,1,1,1
872,87,1,1,1,1
873,87,1,1,1,1
874,87,1,1,1,1
875,87,1,1,1,1
881,88,1,5,1,1
882,88,1,5,1,1
883,88,1,5,1,1
884,88,1,5,1,1
885,88,1,5,1,1
891,89,1,5,1,1
892,89,1,5,1,1
893,89,1,5,1,1
894,89,1,5,1,1
895,89,1,5,1,1
901,90,3,5,5,1
902,90,3,5,5,1
903,90,3,5,5,1
904,90,3,5,5,1
905,90,3,5,5,1
911,91,1,5,1,1
912,91,1,5,1,1
913,91,1,5,1,1
914,91,1,5,1,1
915,91,1,5,1,1
921,92,3,5,1,1
922,92,3,5,1,1
923,92,3,5,1,1
924,92,3,5,1,1
925,92,3,5,1,1
931,93,3,5,1,1
932,93,3,5,1,1
933,93,3,5,1,1
934,93,3,5,1,1
935,93,3,5,1,1
941,94,5,5,5,5
942,94,5,5,5,5
943,94,5,5,5,5
944,94,5,5,5,5
945,94,5,5,5,5
951,95,3,1,1,1
952,95,3,1,1,1
953,95,3,1,1,1
954,95,3,1,1,1
955,95,3,1,1,1
961,96,1,5,5,1
962,96,1,5,5,1
963,96,1,5,5,1
964,96,1,5,5,1
965,96,1,5,5,1
971,97,5,5,5,5
972,97,5,5,5,5
973,97,5,5,5,5
974,97,5,5,5,5
975,97,5,5,5,5
981,98,5,5,1,1
982,98,5,5,1,1
983,98,5,5,1,1
984,98,5,5,1,1
985,98,5,5,1,1
991,99,5,5,5,1
992,99,5,5,5,1
993,99,5,5,5,1
994,99,5,5,5,1
995,99,5,5,5,1
1001,100,5,5,5,5
1002,100,5,5,5,5
1003,100,5,5,5,5
1004,100,5,5,5,5
1005,100,5,5,5,5
1011,101,3,5,5,5
1012,101,3,5,5,5
1013,101,3,5,5,5
1014,101,3,5,5,5
1015,101,3,5,5,5
1021,102,5,5,1,1
1022,102,5,5,1,1
